주소,약국명,대표전화,경도,위도
서울특별시 강남구 논현로159길 10 (신사동) 1층일부,메디팜무지개약국,02-515-7533,127.0273388,37.52311631
"서울특별시 강동구 구천면로 200, (천호동)",메디팜문화약국,02-475-0043,127.1268025,37.54028196
"서울특별시 강동구 천호대로 1467, (상일동)",메디팜미래로약국,02-426-4793,127.171205,37.54636047
"서울특별시 용산구 청파로47길 40, (청파동2가)",메디팜미래로약국,02-713-8716,126.9682689,37.54481843
서울특별시 강북구 도봉로 34,메디팜미소약국,02-989-9917,127.0307216,37.61206853
"서울특별시 광진구 용마산로 4, 1층 (중곡동)",메디팜백악관약국,02-457-6363,127.0887556,37.55404736
"서울특별시 성북구 오패산로 57, 1층 (하월곡동)",메디팜백약국,02-912-6200,127.0362418,37.60734948
서울특별시 강남구 삼성로 38,메디팜보문약국,02-459-2763,127.0668453,37.48868793
서울특별시 성동구 아차산로7길 19(성수동2가),메디팜보배약국,02-461-5666,127.0546986,37.5468643
"서울특별시 강서구 화곡로 138, 1층 (화곡동)",메디팜사랑약국,02-2601-8498,126.8371175,37.54044286
"서울특별시 동대문구 망우로18길 6, 1층 (휘경동)",메디팜사랑약국,02-2213-5005,127.0623524,37.58962139
서울특별시 은평구 연서로 332 (불광동),메디팜삼보약국,02-387-2830,126.928983,37.62483357
"서울특별시 종로구 새문안로3길 15, 동원빌딩 1층 (당주동)",메디팜삼현약국,02-722-9859,126.9723007,37.57170565
"서울특별시 은평구 서오릉로 191, 1층 (구산동)",메디팜상록약국,02-355-0050,126.9121801,37.61332989
"서울특별시 마포구 상암산로1길 73, 월드프라자 103호 (상암동)",메디팜상암약국,02-3291-5879,126.8832049,37.58016326
"서울특별시 양천구 목동동로 59, 104호(신정동,로얄프라자)",메디팜서울약국,02-2646-2680,126.8616182,37.51505074
"서울특별시 양천구 남부순환로40길 63, 1층 (신월동)",메디팜성화약국,02-2604-6148,126.8264935,37.53293943
서울특별시 강북구 삼양로 433   (수유동),메디팜수유대학약국,02-991-0361,127.0162986,37.64218905
서울특별시 강남구 삼성로 150,메디팜수진약국,02-554-4691,127.0665825,37.49475203
"서울특별시 서초구 바우뫼로35길 28, 1층 (양재동)",메디팜숲약국,02-6409-7061,127.0388229,37.4797402
"서울특별시 마포구 창전로 45, 103동 108호 (창전동, 서강한화오벨리스크 단지내 상가)",메디팜신마포약국,02-706-7656,126.9319611,37.54688323
"서울특별시 양천구 신목로 36, 102호 (신정동, 대보빌딩)",메디팜신정교약국,02-2649-8275,126.8737822,37.51884462
"서울특별시 강남구 논현로160길 13, 1층 101호 (신사동)",메디팜압구정약국,02-547-7585,127.0291057,37.52276143
"서울특별시 송파구 올림픽로 212, 2층 220호 (잠실동, 갤러리아팰리스)",메디팜양의약국,02-423-0683,127.0942316,37.51070678
"서울특별시 동작구 노량진로 152, . 1층 (노량진동)",메디팜엔비약국,02-811-7723,126.9427309,37.51344557
"서울특별시 송파구 올림픽로35길 10, B동 212-1호 (신천동, 파크리오)",메디팜우주약국,02-425-2777,127.1132652,37.52031368
"서울특별시 서초구 효령로46길 14, (서초동)",메디팜유일약국,02-585-2260,127.0087987,37.48281283
서울특별시 서초구 잠원로14길 29  (잠원동),메디팜은강약국,02-593-3245,127.0154492,37.51785372
서울특별시 노원구 덕릉로126길 11 (상계동),메디팜은아약국,02-951-5541,127.0818374,37.67059146
서울특별시 강서구 양천로 72,메디팜인정약국,02-2664-1121,126.8117771,37.57321163
서울특별시 성동구 용답중앙길 80-1,메디팜일진약국,02-2245-3665,127.0541277,37.56266599
서울특별시 양천구 목동남로4길 32 (신정동),메디팜장약국,02-2645-7395,126.8660677,37.50882354
"서울특별시 강서구 마곡중앙5로 87, 107호 (마곡동, 우성르보아투)",메디팜정다운약국,02-2664-1088,126.8177735,37.56718276
서울특별시 강남구 강남대로 256,메디팜정연약국,02-522-5925,127.0335376,37.48648686
서울특별시 강동구 천호대로 1200,메디팜정원약국,02-477-6126,127.1446654,37.53455684
서울특별시 구로구 오리로 1270 (궁동),메디팜제일약국,02-2684-3804,126.8307743,37.49500423
"서울특별시 용산구 청파로 324, 1층 (청파동1가)",메디팜최약국,02-715-6009,126.9702469,37.54857575
서울특별시 도봉구 도봉로 488,메디팜큰사랑약국,02-907-7582,127.0352659,37.64899508
서울특별시 강서구 강서로 293-1 (내발산동),메디팜푸른약국,02-2661-2001,126.836006,37.55206456
"서울특별시 송파구 동남로 189, 가락쌍용아파트 101호 (가락동)",메디팜푸른약국,02-400-4201,127.1298537,37.49466141
서울특별시 성동구 무학로 33,메디팜푸른약국,02-6015-2500,127.0263479,37.56916416
서울특별시 송파구 송파대로 365 (석촌동),메디팜하나약국,02-2202-7109,127.111094,37.50041274
서울특별시 강북구 오현로32길 3 (번동),메디팜한마음약국,02-988-0247,127.0396955,37.62870557
"서울특별시 성동구 행당로 84 132호 (행당동, 행당한진타운종합상가)",메디팜한솔약국,02-2282-7948,127.0287459,37.55656776
"서울특별시 성동구 독서당로 384, 중앙노인정 102호 (응봉동)",메디팜현대약국,02-2292-0217,127.0311015,37.54990996
서울특별시 성동구 성수일로 39,메디팜호정약국,02-461-0245,127.0492559,37.54423686
"서울특별시 강남구 강남대로 242, 1층(도곡동, 크리스탈빌딩)",메디피아약국,02-3463-1547,127.0340829,37.48537351
"서울특별시 중구 소공로 지하 58, 화-2호 (충무로1가)",메디홈약국,02-753-2129,126.9818478,37.56066688
"서울특별시 서초구 고무래로 32, 반포트라이엄프메딕스빌딩 107호 (반포동)",메딕스약국,02-537-0671,127.0121545,37.50242161
"서울특별시 관악구 남부순환로 1810, 2층 (봉천동)",메딕약국,02-882-1898,126.9511405,37.48106853
"서울특별시 강남구 남부순환로 2941, 101호 (대치동)",메타팜약국,02-566-2268,127.0619343,37.49426333
서울특별시 성북구 보국문로 53 (정릉동),멜론약국,02-942-2712,127.0095135,37.60926863
"서울특별시 중랑구 사가정로 404-6, 1층,지층 (면목동)",면목그랜드약국,02-435-8447,127.0892962,37.58031377
서울특별시 중랑구 사가정로49길 48 (면목동),면목녹색약국,02-6958-6918,127.0869223,37.5830533
서울특별시 중랑구 면목로 415 (면목동),면목다원약국,02-432-1550,127.0870941,37.58902387
서울특별시 중랑구 용마산로 328 (면목동),면목백화점약국,02-2207-4636,127.0935722,37.58105774
서울특별시 중랑구 겸재로 194 (면목동),면목약국,02-2209-5955,127.0890777,37.58851333
"서울특별시 중랑구 겸재로 201, 1층 (면목동, 봄작시티 201)",면목이화온누리약국,02-434-3155,127.090058,37.58915031
서울특별시 중랑구 겸재로 121 (면목동),면목종로약국,02-439-3161,127.0813183,37.58718609
서울특별시 중구 남대문로7길 11 1층 (소공동),명동명약국,02-779-5395,126.9812495,37.56368927
"서울특별시 중구 남대문로 68, 5층 (명동2가)",명동모모약국,02-318-6803,126.9822638,37.56310999
서울특별시 중구 퇴계로 109 (충무로1가),명동사랑약국,02-778-9975,126.9838628,37.56095125
"서울특별시 중구 남대문로 84, 7층 (남대문로2가)",명동스타약국,050-71477-2070,126.9828407,37.56468142
"서울특별시 중구 남대문로 84, 7층 (남대문로2가)",명동스타약국,02-6260-2070,126.9828407,37.56468142
"서울특별시 중구 남대문로 52-13, 지하1층 (명동2가)",명동썬약국,02-318-3650,126.9822389,37.56213205
서울특별시 중구 퇴계로 123,명동약국,02-2079-0825,126.9853643,37.5612659
서울특별시 성동구 고산자로 164,명동온누리약국,02-2281-7292,127.0354241,37.55506876
서울특별시 중구 명동8나길 49  (충무로1가),명동중앙약국,02-777-0505,126.9821616,37.56107688
"서울특별시 중구 남대문로 68, 3층 (명동2가)",명동천사약국,02-755-1005,126.9822638,37.56310999
서울특별시 중구 명동7길 14  (명동1가),명동하이약국,070-4140-8275,126.9844791,37.56439008
서울특별시 종로구 성균관로 56-1 (명륜1가),명륜시장약국,02-747-3443,126.9967912,37.58769582
"서울특별시 강서구 허준로 175  (가양동, 가양6단지아파트)",명문약국,02-2659-7374,126.8592894,37.56375809
"서울특별시 종로구 통일로 254, 1층, 지하1층 (무악동)",명문약국,02-737-1543,126.9576956,37.57493129
"서울특별시 송파구 마천로41길 20, 1층 (마천동)",명문약국,02-400-8216,127.1496316,37.49696657
서울특별시 도봉구 우이천로 300(쌍문동),명문약국,02-995-5941,127.0291328,37.64454427
"서울특별시 서대문구 홍연길 82, 1층 (연희동)",명문약국,02-332-5677,126.9311378,37.57655608
서울특별시 동대문구 사가정로25길 5   (장안동),명문온누리약국,02-2212-8881,127.0701727,37.57908079
"서울특별시 금천구 시흥대로 92, (시흥동)",명보약국,02-803-2384,126.9040641,37.44227555
"서울특별시 도봉구 노해로70길 12  (창동, 동아아파트)",명산약국,02-908-8122,127.0495227,37.65075048
서울특별시 송파구 백제고분로41길 31 (송파동),명생온누리약국,02-422-1394,127.1064895,37.50842962
"서울특별시 강동구 구천면로 424, 115호 (명일동, 명일메카타운)",명성그린약국,02-428-6267,127.1455792,37.55034986
서울특별시 마포구 월드컵로 87,명성약국,02-332-4603,126.9092406,37.5564743
"서울특별시 영등포구 도림로 152-4, (대림동)",명성약국,02-836-0206,126.8988456,37.49357961
서울특별시 광진구 광나루로 538 (구의동),명성온누리약국,02-444-7848,127.0892259,37.54464113
"서울특별시 성북구 돌곶이로 28, 1층 (석관동)",명소약국,02-965-0237,127.0611275,37.60705729
서울특별시 동작구 서달로 151 (흑석동),명수대약국,02-813-2558,126.9615353,37.506971
서울특별시 금천구 시흥대로138길 13,명수약국,02-854-6846,126.8993347,37.47292468
"서울특별시 서대문구 증가로 84, 1층 103호 (연희동)",명신당약국,02-335-2313,126.9271097,37.57498539
서울특별시 금천구 탑골로 18,명신약국,02-807-8767,126.9111803,37.45176293
서울특별시 강남구 개포로 207  (개포동),명심약국,02-575-5867,127.0452984,37.47857127
"서울특별시 동대문구 망우로18나길 3, 1층 (휘경동)",명약국,02-2246-7471,127.0605711,37.58735606
"서울특별시 중구 남대문로9길 51, 효덕빌딩 5층 (을지로1가)",명약국,02-3789-0624,126.9795023,37.56681363
"서울특별시 송파구 거마로 62, 효명빌딩 1층 (마천동)",명약국,02-407-8374,127.1470168,37.49841813
"서울특별시 광진구 아차산로 532, 101호 (광장동, 진넥스빌딩)",명약국,02-456-6155,127.1004905,37.54234129
서울특별시 금천구 시흥대로 473   (독산동),명약국,02-851-5672,126.8980901,37.4759374
"서울특별시 마포구 마포대로 68, 112호 (도화동, 마포아크로타워)",명약국,02-6952-5312,126.9488974,37.54134215
서울특별시 강남구 압구정로 212  (신사동),명옥약국,02-543-3751,127.0304578,37.52784085
"서울특별시 서대문구 신촌로35길 10, 117호 (북아현동, e편한세상신촌 4단지)",명음약국,02-313-2208,126.9558604,37.5586217
"서울특별시 강동구 명일로 270, 1층 (길동)",명일로약국,02-488-2288,127.1477538,37.54260011
"서울특별시 강동구 고덕로 276, 지하1층 (명일동, 이마트명일점)",명일마트종로약국,02-428-7845,127.1556131,37.55470672
"서울특별시 강동구 양재대로 1626, 202호 (명일동)",명일약국,02-3427-2283,127.1442884,37.55064743
"서울특별시 강동구 양재대로 1625, 숨결TOWER 1층 104,105,106호 (천호동)",명일열린메디컬약국,02-484-8882,127.1435179,37.55057647
"서울특별시 강동구 구천면로 428, 305호 (명일동, 센트로빌)",명일정원약국,02-442-0082,127.1461581,37.55015625
"서울특별시 서대문구 증가로 150, 제상가동 제지3층 제비302호 (남가좌동, DMC센트럴아이파크)",명지약국,02-6958-8856,126.9210192,37.57805476
서울특별시 용산구 신흥로36길 3 (후암동),명진약국,02-778-4365,126.9818477,37.54655698
"서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 110호 (마곡동)",명진팜약국,02-6326-7353,126.8259608,37.56805817
"서울특별시 관악구 남부순환로 2064, 102호 (남현동)",명진팜약국,02-597-5222,126.9780989,37.47640216
"서울특별시 마포구 임정로15길 13, (신공덕동)",명치약국,02-712-1678,126.9572563,37.54336056
"서울특별시 강남구 테헤란로 120, 상경빌딩 1층 (역삼동)",모건약국,02-554-5679,127.0308569,37.49858857
"서울특별시 서대문구 증가로 84, 102호 (연희동)",모닝약국,02-332-1251,126.9271097,37.57498539
서울특별시 서초구 강남대로 341,모닝온누리약국,070-7767-6407,127.0293618,37.4932549
"서울특별시 강남구 테헤란로 지하 156, B2층 219호 (역삼동)",모두약국,02-508-0429,127.0366182,37.50071627
"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",모두온누리약국,02-875-5955,126.9575645,37.4798287
"서울특별시 서대문구 수색로 38, 1층 (남가좌동)",모래내백화점약국,02-305-0264,126.9144804,37.56980836
"서울특별시 서대문구 수색로 34, 1층 (남가좌동)",모래내약국,02-307-1688,126.9149403,37.56959083
"서울특별시 서초구 반포대로 287, 138호 (반포동)",모림약국,02-595-3583,127.0010883,37.50432794
"서울특별시 서초구 강남대로 373, 1층 (서초동)",모모온누리약국,02-523-8235,127.0280101,37.49598293
"서울특별시 서대문구 증가로 129, (남가좌동)",모범약국,02-372-9139,126.9232362,37.57726993
"서울특별시 구로구 새말로 97, 신도림테크노마트 지하1층 BS026호 (구로동)",모스팜약국,02-2111-1222,126.8902273,37.50704384
"서울특별시 강동구 천호대로 1033, 강동빌딩 2층 (천호동)",모아약국,02-2135-3822,127.126958,37.5378954
"서울특별시 성북구 화랑로11길 23, 1층 (하월곡동)",모아약국,02-942-4534,127.0416753,37.60340261
"서울특별시 양천구 남부순환로59길 9, (신월동)",모아약국,02-2603-0948,126.8322595,37.53231058
"서울특별시 서초구 성촌길 34, 지하1층 (우면동, (주)삼성전자서울R&D캠퍼스)",모아약국,02-576-0212,127.0242692,37.4662001
"서울특별시 강동구 고덕로 390, 고덕아르테온아파트(상가1동) 2층 204호 (상일동)",모주현약국,070-7808-3323,127.1687802,37.55662641
"서울특별시 양천구 목동로 203, 404호 (신정동)",목동4층약국,02-2065-6775,126.8638068,37.52670622
"서울특별시 양천구 목동로27길 6, 1층 (신정동)",목동건강약국,02-2692-8880,126.8632628,37.52865329
"서울특별시 강서구 곰달래로 272, 1층 103호 (화곡동)",목동메디약국,02-2062-0091,126.8631753,37.53218691
서울특별시 양천구 목동동로 430 (목동),목동벧엘약국,02-2643-7676,126.8843932,37.53520568
서울특별시 양천구 목동동로12길 45,목동세계로약국,02-2644-4680,126.8763661,37.52258651
서울특별시 양천구 목동중앙북로 27,목동세명약국,02-2645-7525,126.86656,37.54831327
"서울특별시 양천구 신월로 170, 1층 (신월동)",목동센트럴약국,02-6448-1303,126.8424754,37.51815982
"서울특별시 양천구 오목로 232, 112호 (신정동, 보성상가)",목동약국,02-2697-0543,126.8632063,37.52576425
"서울특별시 양천구 목동동로 435, 1층 105호 (목동)",목동정문약국,02-2061-0214,126.8848688,37.53738585
"서울특별시 양천구 오목로 224, 1층 (신정동)",목동제일큰약국,02-2608-8922,126.8624296,37.52561441
서울특별시 양천구 목동로 210,목동즐거운약국,02-2644-3903,126.8644473,37.52738343
"서울특별시 양천구 목동서로 155, 목동파라곤 지하1층 7호 (목동)",목동파라곤약국,02-2648-6584,126.875072,37.52999562
"서울특별시 양천구 목동남로4길 2, 118~123호 (신정동)",목동한미약국,02-2649-8367,126.8645355,37.5082875
"서울특별시 양천구 목동동로 309, 행복한세상 킴스클럽 지하1층 (목동)",목동행복한약국,02-6952-5777,126.8759847,37.52921099
"서울특별시 강서구 등촌로5길 5, (화곡동)",목화약국,02-2646-1412,126.8632709,37.53325435
"서울특별시 중구 만리재로 175, 402동 1층 402-1-다호 (만리동2가)",목화약국,02-393-9117,126.9644544,37.55479085
"서울특별시 강남구 양재대로55길 11, 1층 (일원동)",목화약국,02-2226-2268,127.0876678,37.4915324
"서울특별시 노원구 한글비석로 77, 한성여객(주) (하계동)",무궁화약국,02-971-0072,127.0704665,37.63756149
"서울특별시 중구 창경궁로1길 38, 무릉약국 (충무로4가)",무릉약국,02-2268-9443,126.9963344,37.5625176
"서울특별시 금천구 시흥대로 406, (독산동)",무림약국,02-858-7138,126.8984939,37.46967888
"서울특별시 서대문구 연희로 407, 연희8빌딩 1층 (홍은동)",무악메디칼약국,02-723-3017,126.9404853,37.59128798
"서울특별시 강남구 일원로 45, 대훈빌딩 1층 (일원동)",무지개삼성약국,02-2226-5467,127.0815134,37.48990463
"서울특별시 서초구 헌릉로8길 9-8, 1층 108호 (내곡동)",무지개약국,02-577-0790,127.0599758,37.4566898
"서울특별시 광진구 뚝섬로 498-1, A,B동 1층 (자양동)",무지개약국,02-462-8604,127.0655632,37.53591973
"서울특별시 강동구 진황도로61길 42, 104호 (둔촌동, 둔촌동주상복합)",무지개약국,02-483-4649,127.1454556,37.52847339
"서울특별시 양천구 등촌로 214, (목동)",무지개약국,02-2643-5511,126.8636994,37.54860787
"서울특별시 영등포구 선유로 76, 동국메뜨리앙 3층 305호 (문래동3가)",무지개약국,02-3280-2388,126.8899059,37.52064888
서울특별시 도봉구 도봉로 471  (쌍문동),무지개온누리약국,02-991-8427,127.0338769,37.64784259
서울특별시 노원구 화랑로 325 (월계동),무지개온누리약국,02-909-0889,127.0640434,37.614953
"서울특별시 노원구 덕릉로 753, 상가동 2-12호 (상계동, 노원 롯데캐슬 시그니처)",무진약국,02-937-0780,127.0763205,37.66585159
"서울특별시 영등포구 영등포로 118, 성지빌딩 1층 1,2호 (당산동2가)",문래건강한약국,02-2633-0696,126.8946297,37.52130839
서울특별시 관악구 양녕로 34 (봉천동),문박사약국,02-873-8652,126.947,37.48507236
서울특별시 금천구 독산로64길 39,문성당약국,02-804-5360,126.9045425,37.46587067
서울특별시 용산구 독서당로 67,문약국,02-793-2296,127.0081536,37.5338685
"서울특별시 종로구 율곡로 지하62, 3호선 안국역 지하3층 316호 (안국동)",문우약국,02-733-1088,126.985823,37.57672037
"서울특별시 송파구 송파대로 98, 선도빌딩 1층 (문정동)",문정건강약국,02-404-6190,127.1261818,37.47969902
"서울특별시 송파구 새말로 124, 1층 101호 (문정동)",문정수약국,02-404-4387,127.1279362,37.48276192
"서울특별시 송파구 동남로4길 25, 금천빌딩 (문정동)",문정약국,02-402-1424,127.1249794,37.48794011
"서울특별시 송파구 송파대로 167, 문정역테라타워 지하1층 G132호 (문정동)",문정온누리약국,02-2054-3551,127.1209336,37.4846615
"서울특별시 송파구 법원로 114, 엠스테이트 C-218호 (문정동)",문정우리들약국,02-2283-1522,127.1210094,37.48605528
"서울특별시 송파구 법원로 114, 엠스테이트 C동 214호 (문정동)",문정이화약국,02-2283-1153,127.1210094,37.48605528
"서울특별시 송파구 동남로 138, 1층 (문정동)",문정프라자약국,02-407-6796,127.1262427,37.49112302
"서울특별시 양천구 지양로3길 10-1, (신월동)",문화약국,02-2602-5602,126.8357726,37.51862174
서울특별시 강남구 학동로 342,미네랄약국,02-545-3404,127.0408413,37.51675601
"서울특별시 은평구 응암로 264, 서울빌딩 1층 (응암동)",미도파약국,02-308-8887,126.9188749,37.59528885
서울특별시 용산구 한강대로 259 109호 (갈월동),미라클약국,070-7723-6050,126.9724128,37.54158425
"서울특별시 서초구 강남대로53길 12, 솔라티움시티 강남 1층 105호 (서초동)",미라클약국,02-795-6051,127.0277051,37.49439318
"서울특별시 양천구 목동동로 379, 113호 (목동, 광장상가)",미라클약국,02-2649-6282,126.8787135,37.53560985
"서울특별시 동대문구 이문로 114, 한국외국어대학교 글로벌홀 1층 (이문동)",미래로약국,02-966-4588,127.0606824,37.59673505
"서울특별시 송파구 강동대로 63, 1층 (풍납동)",미래아산약국,02-473-0777,127.1146307,37.52716646
서울특별시 성북구 고려대로 85 (안암동5가),미래약국,02-924-5264,127.0288782,37.58649185
"서울특별시 노원구 상계로5길 32, 금호프라자 110호, 111호 (상계동)",미래약국,02-933-8139,127.0628425,37.65711525
"서울특별시 구로구 구로동로 145-6, B동 1,2층 (구로동)",미래약국,02-852-0270,126.8834447,37.49154167
"서울특별시 광진구 군자로 85, (군자동)",미래약국,02-3409-4828,127.070895,37.55078152
"서울특별시 강서구 양천로14길 23, 효성빌딩 1층 101호 (방화동)",미래약국,02-2662-0377,126.810245,37.57200509
서울특별시 영등포구 여의대방로65길 12   (여의도동),미래약국,02-784-5480,126.9300319,37.51962871
"서울특별시 서초구 고무래로 90-7, 서초쇼핑 202호 (서초동)",미래약국,02-537-1878,127.0174508,37.49992236
"서울특별시 중랑구 겸재로 113, (면목동)",미래약국,02-496-3737,127.0803495,37.58691339
"서울특별시 송파구 오금로 516, 삼정빌딩 1층 (거여동)",미래약국,02-401-5565,127.1461559,37.49280828
"서울특별시 강남구 언주로 123 (도곡동, 개포한신아파트)",미래온누리약국,02-6958-6690,127.0497551,37.48760335
서울특별시 노원구 노해로 492 프린스빌딩,미래팜약국,02-932-9595,127.0626778,37.65445483
서울특별시 금천구 독산로 290,미래팜약국,02-862-6688,126.9033958,37.47262119
"서울특별시 송파구 토성로 65, 2층 202-2호 (풍납동, 태양상가 202-2호)",미르약국,02-486-7517,127.1173456,37.52890796
"서울특별시 은평구 백련산로 84, 211호 (응암동, 백련산 힐스테이트 2차(211동상가))",미르약국,02-303-7933,126.9236424,37.59300972
서울특별시 강동구 동남로81길 100   (고덕동),미리암약국,02-3427-3108,127.1517085,37.55898622
"서울특별시 구로구 구로동로 77, 동해빌딩 지하1층 (구로동)",미문약국,02-838-7020,126.8855791,37.48554773
서울특별시 송파구 송파대로 374 (송파동),미성송파약국,02-420-2419,127.1112186,37.50133066
서울특별시 강남구 압구정로 113-22  (압구정동),미성약국,02-544-8275,127.019644,37.52474117
"서울특별시 영등포구 도신로29길 28(영등포동, 영등포푸르지오)",미성온누리약국,02-846-5530,126.9023257,37.51175428
"서울특별시 노원구 동일로 1533, 102호 (상계동, 백산빌딩)",미션약국,02-930-4785,127.0572464,37.66536478
"서울특별시 동대문구 장안벚꽃로 107, 상가1동 2층 215-1호 (장안동, 장안현대홈타운)",미소가득약국,02-3390-4513,127.0751137,37.57105683
서울특별시 마포구 월드컵북로 396,미소가득한약국,02-2636-6667,126.889783,37.57942834
"서울특별시 성북구 보국문로 49, 1층 (정릉동)",미소담약국,02-6349-2589,127.0096892,37.6087956
"서울특별시 성북구 동소문로 10, 1층 (동소문동2가, 카프리빌딩)",미소드림약국,02-747-6464,127.0073336,37.58873277
서울특별시 영등포구 영신로 238,미소로약국,02-3667-5066,126.9042134,37.52855097
"서울특별시 강남구 테헤란로 503, 하이브로빌딩 2층 일부호 (삼성동)",미소산약국,02-508-0918,127.0571652,37.50748232
"서울특별시 중구 장충단로 201, 1층 (장충동1가)",미소약국,02-2277-8808,127.0064992,37.56277489
서울특별시 송파구 오금로31길 11 (방이동),미소약국,02-418-5090,127.1215379,37.50702611
"서울특별시 노원구 상계로10길 12, 1층 (상계동)",미소약국,02-930-2270,127.0676103,37.65698503
서울특별시 강동구 구천면로 232,미소약국,02-470-8941,127.1303022,37.54114617
"서울특별시 서대문구 통일로 402-1, 1층 (홍제동)",미소약국,02-6487-6110,126.9478456,37.58569108
서울특별시 광진구 면목로 126,미소약국,02-3409-2744,127.0807575,37.56448656
"서울특별시 강남구 테헤란로 514, 5층 (대치동,삼흥제2빌딩)",미소약국,070-4127-1351,127.0597555,37.5074268
"서울특별시 강서구 양천로 73, 108호 (방화동)",미소약국,02-2664-2551,126.811826,37.57372519
서울특별시 영등포구 문래로 83 (문래동3가),미소약국,02-2672-9015,126.891294,37.51992323
"서울특별시 서초구 서운로 39, 1층 101호 (서초동, 원진빌딩)",미소약국,02-3487-3454,127.0284962,37.48739676
"서울특별시 도봉구 도봉로 678, 홈플러스데스코㈜방학점 지하2층 (방학동)",미소약국,02-954-3119,127.0436865,37.66481089
"서울특별시 동작구 국사봉1길 33, 범한빌딩 (상도동)",미소약국,02-462-3364,126.9303622,37.49910898
"서울특별시 성동구 왕십리로 271-1, 1층 (행당동)",미소약국,02-2299-4041,127.0372826,37.55875516
"서울특별시 동대문구 전농로 124, 1층 (전농동)",미소약국,02-2217-4365,127.0578723,37.57588884
"서울특별시 양천구 곰달래로5길 17, 신월프라자 1층 (신월동)",미소약국,02-2065-7737,126.833604,37.53111136
"서울특별시 광진구 아차산로 373, 원이빌딩 1층 (구의동)",미소온누리약국,02-455-6813,127.0840327,37.53701194
"서울특별시 강남구 논현로168길 40, 103호 (신사동)",미소온누리약국,02-516-8999,127.0313276,37.52307531
"서울특별시 관악구 난곡로 295, 1층 (신림동)",미소온누리약국,28388868,126.9145201,37.48036213
"서울특별시 중랑구 봉화산로 217 (신내동, 오상빌딩내)",미소은혜약국,02-3422-2755,127.0968128,37.60776844
서울특별시 송파구 올림픽로 119 (잠실동),미소진약국,02-412-7380,127.0841863,37.51208434
서울특별시 성동구 장터길 19(금호동3가),미소진약국,02-2233-1554,127.0180335,37.54848018
"서울특별시 강동구 양재대로 1661, (명일동)",미소진약국,02-428-3365,127.143944,37.55385711
서울특별시 영등포구 신길로 149,미솔약국,02-841-8577,126.9104393,37.50560595
"서울특별시 강북구 도봉로 217, 1층 (미아동)",미아역온누리약국,02-985-7703,127.0251107,37.62805771
"서울특별시 강북구 도봉로 65, 1층 (미아동)",미아팜약국,02-988-2376,127.0296486,37.61492341
"서울특별시 마포구 신촌로 174, 102호 (대흥동)",미약국,02-703-0400,126.9449971,37.55648691
서울특별시 강북구 솔샘로 229-1 (미아동),미양온누리약국,02-988-8800,127.0182293,37.62014326
"서울특별시 강서구 양천로6길 28, 상가동 108호 (방화동, 도시개발12단지아파트)",미주온누리약국,02-2665-7552,126.8063998,37.57102749
"서울특별시 강서구 강서로47가길 12, 1층 (내발산동)",미즈약국,02-2661-2681,126.8354471,37.55216487
"서울특별시 강서구 강서로 299, 1층 (내발산동)",미즈정문온누리약국,02-2665-0302,126.8360035,37.55254614
"서울특별시 강남구 강남대로 390, B105호(역삼동,미진프라자)",미진약국,02-566-1954,127.0285788,37.49783995
"서울특별시 영등포구 영신로 9, 주영빌딩 1층 (영등포동)",민들레약국,02-842-3492,126.9091946,37.51237209
"서울특별시 동작구 보라매로 110, 영등포농협 1층 (대방동)",민들레약국,02-814-8275,126.9284665,37.49909857
"서울특별시 은평구 응암로 179, 1층 (응암동)",민들레약국,02-376-8552,126.9163842,37.58805575
"서울특별시 강서구 공항대로 236, 1층 101호 (마곡동)",민들레약국,02-2661-5950,126.8337541,37.55854102
"서울특별시 강남구 언주로125길 6, (논현동)",민생약국,02-547-7903,127.0347596,37.51322386
서울특별시 동대문구 한천로11길 32 (답십리동),민성약국,02-2245-7948,127.0604865,37.56717347
"서울특별시 성북구 종암로27길 13, 101호 (종암동, 도원프라자)",민성약국,02-927-6959,127.031444,37.60263858
서울특별시 종로구 사직로12길 26,민약국,02-738-8816,126.9708624,37.57493176
"서울특별시 영등포구 가마산로69가길 12, 3층 303호 (신길동)",민약국,02-841-5645,126.9096066,37.5061325
"서울특별시 용산구 한강대로15길 9-18, 연세중앙내과의원 (한강로3가)",민약국,070-8211-1917,126.9630555,37.52535133
서울특별시 강북구 오패산로30길 41 (미아동),민정약국,02-980-1244,127.0349057,37.6150637
서울특별시 성동구 마장로35길 76,민제약국,02-2291-9130,127.0419968,37.57026263
서울특별시 도봉구 덕릉로 235 (창동),민중약국,02-992-6194,127.0381095,37.63893795
"서울특별시 마포구 신촌로 262, 101호 (아현동)",민트약국,02-312-2193,126.954826,37.557056
"서울특별시 강동구 올림픽로78길 60, 1-221호 (천호동)",민트약국,02-715-5083,127.1284993,37.54097344
"서울특별시 강남구 강남대로 590, 미혜빌딩 1층 (논현동)",민트약국,02-511-5002,127.0204154,37.5145397
"서울특별시 은평구 응암로 213, (응암동)",믿음메디칼약국,02-303-0544,126.9171247,37.59100765
서울특별시 구로구 고척로21나길 17 (개봉동),믿음약국,02-2060-7191,126.8447603,37.50268658
